,Bacteroidales,Oscillospirales,RF32,Verrucomicrobiales,Actinomycetales,Lactobacillales,Enterobacterales,Veillonellales,Brachyspirales,Haloplasmatales,Lachnospirales,Clostridiales,Erysipelotrichales,Acidaminococcales
MB-2860,0.38843485344267337,0.0,0.0,0.0,0.0,0.0,0.1831412901475696,0.2809904349363787,0.0,0.0,0.0,0.1474334214733781,0.0,0.0
MB-5397,0.1990987429393242,0.35053711100570706,0.0,0.0,0.0,0.0,0.0,0.4503641460549686,0.0,0.0,0.0,0.0,0.0,0.0
MB-9404,0.7329525783824791,0.2670474216175207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-3546,0.0,0.2911558551642937,0.0,0.0,0.3494787116778309,0.0572547347304161,0.0,0.2181687845734858,0.0,0.0839419138539732,0.0,0.0,0.0,0.0
MB-5530,0.3535328352126596,0.35494572355257137,0.0,0.0,0.0,0.0,0.2915214412347689,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-9768,0.0,0.639250221795164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.360749778204836,0.0
MB-4205,0.5750116701106843,0.1211403260921237,0.0,0.0,0.0,0.2224984455730991,0.0,0.0,0.0,0.0,0.0813495582240927,0.0,0.0,0.0
MB-9507,0.277813737330441,0.0,0.0,0.0473315131932921,0.1093665441119894,0.1829729580820092,0.0,0.0,0.0,0.0,0.247601623735003,0.1349136235472652,0.0,0.0
MB-1477,0.8636339815160632,0.0893039050035585,0.0,0.0,0.0,0.0,0.0,0.0470621134803781,0.0,0.0,0.0,0.0,0.0,0.0
MB-5498,0.3276951694946892,0.1931387853934037,0.0,0.0,0.0,0.4791660451119068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-4774,0.5110071687131645,0.4889928312868354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-2933,0.20958842947453998,0.6067884363971484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1836231341283114,0.0,0.0,0.0
MB-7124,0.0,0.0,0.0,0.0,0.0,0.9595764379564082,0.0,0.0404235620435916,0.0,0.0,0.0,0.0,0.0,0.0
MB-6449,0.8638891106798989,0.0,0.0,0.0,0.0,0.1361108893201011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-7133,0.2892437525707753,0.0732261947628176,0.0,0.0,0.2563391916098015,0.0,0.0,0.0,0.0,0.0,0.0,0.3148078770592146,0.0663829839973907,0.0
MB-2552,0.0352884462778268,0.0,0.0,0.0,0.7352670416741056,0.0,0.0,0.2294445120480675,0.0,0.0,0.0,0.0,0.0,0.0
MB-8609,0.0725433754867497,0.1998855753901826,0.0,0.0,0.0,0.1722025771270052,0.1325343335708046,0.0948740048810383,0.0,0.0,0.0,0.0,0.094710632087475,0.2332495014567444
MB-9445,0.0,0.0,0.0,0.0,0.2337462846826101,0.0,0.0,0.0938688173174918,0.0,0.0,0.0,0.0,0.5360870157181274,0.1362978822817705
MB-5262,0.2749382214242386,0.2389563187066481,0.0,0.0,0.3422844454291873,0.092891819248963,0.0,0.0,0.0,0.0337455278842133,0.0,0.0,0.0,0.0171836673067494
MB-1589,0.1541273792142465,0.2218473296471765,0.0,0.0694974587095474,0.1982529352039305,0.356274897225099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-5652,0.0556707501811889,0.45300265022572567,0.0,0.0,0.0,0.0,0.2734942056866714,0.0,0.0,0.0,0.0,0.2178323939064139,0.0,0.0
MB-3428,0.415810954259323,0.0593365883741712,0.0,0.0,0.0,0.2718122082615705,0.2530402491049351,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-8546,0.0,0.5322663424646117,0.0,0.0,0.0,0.0854610285695406,0.0,0.0,0.0,0.0,0.1541364462636992,0.2281361827021483,0.0,0.0
MB-7924,0.261841398437999,0.4345881018537246,0.0,0.2001473531532095,0.0,0.1034231465550667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-9986,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-2694,0.0,0.0,0.0,0.0,0.0,0.4089658042900823,0.0,0.3689499681719777,0.0,0.2220842275379398,0.0,0.0,0.0,0.0
MB-6143,0.5627140565940627,0.0922604241000677,0.0,0.0,0.0,0.3450255193058695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-4822,0.2410590512314377,0.0,0.0,0.0,0.2491125044399071,0.135349972892188,0.0,0.2585768328689055,0.0,0.0,0.0,0.0,0.0,0.1159016385675616
MB-7322,0.0,0.0,0.0,0.0,0.3064858531642254,0.0,0.0,0.3142668583485768,0.3792472884871977,0.0,0.0,0.0,0.0,0.0
MB-5955,0.7748391436946017,0.2251608563053982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-9521,0.3067082571068565,0.2398247577634159,0.0,0.0,0.0,0.4534669851297275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-2697,0.2901562359502935,0.3972322411611599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3126115228885465
MB-1530,0.0771755772594346,0.488090199919867,0.0,0.0,0.0,0.1056286577863022,0.2674815622086903,0.0,0.0616240028257057,0.0,0.0,0.0,0.0,0.0
MB-2421,0.053149125858956,0.0130488398450656,0.0,0.0,0.0,0.0,0.0,0.656270364066613,0.2775316702293653,0.0,0.0,0.0,0.0,0.0
MB-7773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-7631,0.3942374965068757,0.0,0.102768953401695,0.0,0.0,0.0,0.0,0.5029935500914292,0.0,0.0,0.0,0.0,0.0,0.0
MB-2845,0.0,0.0,0.5530849776335923,0.4469150223664077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-5486,0.0,0.415841315201607,0.0,0.0956396851916085,0.0,0.1688747480058568,0.0,0.3196442516009276,0.0,0.0,0.0,0.0,0.0,0.0
MB-5241,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-9714,0.1859755166445974,0.2089407845340879,0.0,0.0,0.0,0.0,0.0,0.2628512233849974,0.077176467952116,0.1497843883468824,0.1152716191373188,0.0,0.0,0.0
MB-2712,0.1775493147259202,0.2197978611743067,0.0,0.0,0.0,0.1443947506173204,0.2059274963822735,0.0,0.0,0.0,0.0,0.0,0.2523305771001789,0.0
MB-5841,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-7505,0.0,0.0,0.0,0.0,0.304749251523347,0.5328468412680472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1624039072086056
MB-6681,0.22131006273666332,0.0,0.0,0.0,0.0,0.0419148700840171,0.1616083082084511,0.2126754780819501,0.0907119578090364,0.0,0.0,0.2053751886140485,0.0664041344658333,0.0
MB-8359,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-2126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5126622754290979,0.0,0.0,0.4873377245709021,0.0,0.0,0.0
MB-4454,0.0,0.4843276802266795,0.0,0.1300817879947888,0.0,0.3159885266398974,0.0,0.0,0.0,0.0,0.0,0.0696020051386341,0.0,0.0
MB-5477,0.6842475472431397,0.2433086578376269,0.0,0.0,0.0,0.0,0.0,0.0,0.0724437949192333,0.0,0.0,0.0,0.0,0.0
MB-8978,0.1458805290824533,0.1424655002876119,0.4069822214340406,0.1976774512508496,0.0,0.1069942979450444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-8077,0.5237242635128364,0.0,0.0,0.0,0.0,0.2388130159763726,0.2374627205107908,0.0,0.0,0.0,0.0,0.0,0.0,0.0
