,Bacteroidota,Bacillota_A,Pseudomonadota,Verrucomicrobiota,Actinomycetota,Bacillota,Bacillota_C,Spirochaetota
MB-2860,0.38843485344267337,0.1474334214733781,0.1831412901475696,0.0,0.0,0.0,0.2809904349363787,0.0
MB-5397,0.1990987429393242,0.35053711100570706,0.0,0.0,0.0,0.0,0.4503641460549686,0.0
MB-9404,0.7329525783824791,0.2670474216175207,0.0,0.0,0.0,0.0,0.0,0.0
MB-3546,0.0,0.2911558551642937,0.0,0.0,0.3494787116778309,0.1411966485843893,0.2181687845734858,0.0
MB-5530,0.3535328352126596,0.35494572355257137,0.2915214412347689,0.0,0.0,0.0,0.0,0.0
MB-9768,0.0,0.639250221795164,0.0,0.0,0.0,0.360749778204836,0.0,0.0
MB-4205,0.5750116701106843,0.2024898843162164,0.0,0.0,0.0,0.2224984455730991,0.0,0.0
MB-9507,0.277813737330441,0.38251524728226816,0.0,0.0473315131932921,0.1093665441119894,0.1829729580820092,0.0,0.0
MB-1477,0.8636339815160632,0.0893039050035585,0.0,0.0,0.0,0.0,0.0470621134803781,0.0
MB-5498,0.3276951694946892,0.1931387853934037,0.0,0.0,0.0,0.4791660451119068,0.0,0.0
MB-4774,0.5110071687131645,0.4889928312868354,0.0,0.0,0.0,0.0,0.0,0.0
MB-2933,0.20958842947453998,0.7904115705254599,0.0,0.0,0.0,0.0,0.0,0.0
MB-7124,0.0,0.0,0.0,0.0,0.0,0.9595764379564082,0.0404235620435916,0.0
MB-6449,0.8638891106798989,0.0,0.0,0.0,0.0,0.1361108893201011,0.0,0.0
MB-7133,0.2892437525707753,0.3880340718220322,0.0,0.0,0.2563391916098015,0.0663829839973907,0.0,0.0
MB-2552,0.0352884462778268,0.0,0.0,0.0,0.7352670416741056,0.0,0.2294445120480675,0.0
MB-8609,0.0725433754867497,0.1998855753901826,0.1325343335708046,0.0,0.0,0.2669132092144802,0.3281235063377827,0.0
MB-9445,0.0,0.0,0.0,0.0,0.2337462846826101,0.5360870157181274,0.2301666995992623,0.0
MB-5262,0.2749382214242386,0.2389563187066481,0.0,0.0,0.3422844454291873,0.12663734713317631,0.0171836673067494,0.0
MB-1589,0.1541273792142465,0.2218473296471765,0.0,0.0694974587095474,0.1982529352039305,0.356274897225099,0.0,0.0
MB-5652,0.0556707501811889,0.6708350441321396,0.2734942056866714,0.0,0.0,0.0,0.0,0.0
MB-3428,0.415810954259323,0.0593365883741712,0.2530402491049351,0.0,0.0,0.2718122082615705,0.0,0.0
MB-8546,0.0,0.9145389714304591,0.0,0.0,0.0,0.0854610285695406,0.0,0.0
MB-7924,0.261841398437999,0.4345881018537246,0.0,0.2001473531532095,0.0,0.1034231465550667,0.0,0.0
MB-9986,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-2694,0.0,0.0,0.0,0.0,0.0,0.6310500318280221,0.3689499681719777,0.0
MB-6143,0.5627140565940627,0.0922604241000677,0.0,0.0,0.0,0.3450255193058695,0.0,0.0
MB-4822,0.2410590512314377,0.0,0.0,0.0,0.2491125044399071,0.135349972892188,0.37447847143646706,0.0
MB-7322,0.0,0.0,0.0,0.0,0.3064858531642254,0.0,0.3142668583485768,0.3792472884871977
MB-5955,0.7748391436946017,0.2251608563053982,0.0,0.0,0.0,0.0,0.0,0.0
MB-9521,0.3067082571068565,0.2398247577634159,0.0,0.0,0.0,0.4534669851297275,0.0,0.0
MB-2697,0.2901562359502935,0.3972322411611599,0.0,0.0,0.0,0.0,0.3126115228885465,0.0
MB-1530,0.0771755772594346,0.488090199919867,0.2674815622086903,0.0,0.0,0.1056286577863022,0.0,0.0616240028257057
MB-2421,0.053149125858956,0.0130488398450656,0.0,0.0,0.0,0.0,0.656270364066613,0.2775316702293653
MB-7773,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MB-7631,0.3942374965068757,0.0,0.102768953401695,0.0,0.0,0.0,0.5029935500914292,0.0
MB-2845,0.0,0.0,0.5530849776335923,0.4469150223664077,0.0,0.0,0.0,0.0
MB-5486,0.0,0.415841315201607,0.0,0.0956396851916085,0.0,0.1688747480058568,0.3196442516009276,0.0
MB-5241,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MB-9714,0.1859755166445974,0.3242124036714067,0.0,0.0,0.0,0.1497843883468824,0.2628512233849974,0.077176467952116
MB-2712,0.1775493147259202,0.2197978611743067,0.2059274963822735,0.0,0.0,0.39672532771749935,0.0,0.0
MB-5841,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MB-7505,0.0,0.0,0.0,0.0,0.304749251523347,0.5328468412680472,0.1624039072086056,0.0
MB-6681,0.22131006273666332,0.2053751886140485,0.1616083082084511,0.0,0.0,0.10831900454985041,0.2126754780819501,0.0907119578090364
MB-8359,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
